Issue Type,Priority,Key,Summary,Status,Assignee,Created,Description,Updated,Project,Sprint,Epic Link,Story Points
Bug - Internal Reported,Functionality Incomplete,IRWIN-228,User unable to register - Prod,Closed,Unassigned,12/16/11 12:52,"But I can add user through the ADMIN Module 







Margaret Nutt 

IRWIN Project Lead 

Nevada Department of Transportation 

Hours: 7:00AM - 4:00PM Mon-Fri 

Phone: 775 888-7425 

Mobile: 775-461-6875 

mnutt@dot.state.nv.us <mailto:mnutt@dot.state.nv.us> 




This communication, including any attachments, may contain confidential information and is intended only for the individual or entity to whom it is addressed. Any review, dissemination or copying of this communication by anyone other than the intended recipient is strictly prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and delete all copies of the original message. 

[Created via e-mail received from: ""Nutt, Margaret M"" <MNutt@dot.state.nv.us>]",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-229,NDOT-IRWIN: 107845 at stage Demand Letter Final Notice - Train,Closed,Unassigned,12/16/11 12:58,"System ID 107845 at stage (Demand Letter Final Notice) has been assigned 
to you for Permitting 



The current stage of this permit is ""Application in Review by Legal""; it 
was ""Demand Letter Final Notice"" 




This communication, including any attachments, may contain confidential information and is intended only for the individual or entity to whom it is addressed. Any review, dissemination or copying of this communication by anyone other than the intended recipient is strictly prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and delete all copies of the original message. 

[Created via e-mail received from: ""Nutt, Margaret M"" <MNutt@dot.state.nv.us>]",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-230,Dashboard Page - Not Working,Closed,Unassigned,12/20/11 10:10,"Billboard/NewPermit/Message.aspx 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-231,New Application - Location page - Remove division dropdown and add validation,Closed,Unassigned,12/20/11 14:06,"Billboard/NONAuthorizaton/EntryScreens/Location_EMP.aspx 

Remove Division dropdown 
Add validation in javascript",2/3/15 15:33,NDOT - IRWIN,,,
Development Subtask,Functionality Incomplete,IRWIN-233,IRWIN-231 New Application - Remove Division dropdown with label from page.,Closed,Unassigned,12/20/11 14:28,Billboard/NONAuthorizaton/EntryScreens/Location_EMP.aspx,1/12/12 12:48,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-234,New Applicaion - Location page the Next button not going to next page.,Closed,Unassigned,12/20/11 14:30,"Billboard/NONAuthorizaton/EntryScreens/Location_EMP.aspx 

When SaveLocationData is executed. 
Conversion from type 'DBNull' to type 'String' is not valid. 

",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-235,Notification for Road Operation,Closed,Unassigned,12/20/11 16:00,"Testing Notification of Road Ops email(Inside and Outside NDOT), Emails 
received. 

Margaret Nutt",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Look and Feel,IRWIN-236,Rename message if duplicate reviewers are being assigned,Closed,Unassigned,12/20/11 16:22,"Update user manual to say. 
If you click Add and you send to the same person / division it will popup an email to notify the person but does not update the Additional Reviewer Status grid 
if you click Edit you will send email to the same person / division it will popup an email to notify the person and it updates the date in Additional Reviewer Status. 


PERMITTING/STANDARD/PDPCReviewDocumentsAcquired.aspx 

Testing IRWIN-220 Adding additional reviewers 

Should say division reviewer already assign or something 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-237,Cannot add a New User using Admin Module,Closed,Unassigned,12/20/11 17:22,,2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-239,New Application - Structure page,Closed,Unassigned,1/9/12 11:37,"Billboard/NONAuthorizaton/EntryScreens/Structure.aspx 

Remove Meeting Requires. 
Validation for Dimensions of Faces is not working. 
Add in the required fields. 
Page is not getting structure data from database when saved.",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-240,New Application - Land Owner page,Closed,Unassigned,1/9/12 11:40,"Billboard/NONAuthorizaton/EntryScreens/LandOwner.aspx 

Add requirements to Sign Site Address 
Validation needs to be added 
When you click Next it should take you to the Print page and the current status should be Dashboard ID = 1 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-241,Application Details Page - Remove / Add data in descriptions section of the JIRA log,Closed,Unassigned,1/9/12 11:47,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/APPLICATIONDETAILS.ASPX 

Remove Issued Date or Approved Date based on which one is used in the Authorization process. Might keep both. but the one kept make it read only. 

Add ""Property Held in Trust for Native Americans"" 
Remove Division Associated dropdown 
Remove Permit Sequence # 
Add Payments Received Section below Reviewed By section. [This was moved to IRWIN-292 and won't be addressed here - Mani] 

",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-242,Location page - Remove Division,Closed,Unassigned,1/9/12 12:01,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/VIEWLOCATION.ASPX 

Remove Division 
",2/3/15 15:33,NDOT - IRWIN,,,
Bug - Internal Reported,Look and Feel,IRWIN-243,Zoning Page - Make Zoning Activity dropdown have no width set.,Closed,Unassigned,1/9/12 12:04,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/CITY_COUNTY_ZONING.ASPX 
",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-244,Structure Page - Add Permit / Tag Number and remove Meeting Requires,Closed,Unassigned,1/9/12 12:07,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/VIEWSTRUCTURE.ASPX 

Add Permit / Tag Number 
Remove Meeting Requires",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-246,Comments Page - Location is not showing up.,Closed,Unassigned,1/9/12 12:16,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/COMMENTS.ASPX 
",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-247,Applicant Status Page - Not Working,Closed,Unassigned,1/9/12 12:21,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/APPLICANTSTATUS.ASPX 

App_Code\BILLBOARD\ApplicantStatus.vb 
BBD_VW_SIGNOWNER_DETAILS needs to be replace with VW_CLIENT_CUSTOMER_INFO",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-248,Inspection Page - Application Information not populated,Closed,Unassigned,1/9/12 13:48,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/INSPECTIONS.ASPX 

",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-249,Transfer Form Page - Fix All issues in description.,Closed,Unassigned,1/9/12 13:49,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/TRANSFERAPPLICATION.ASPX 
Need to get with Brian first to discuss the Company Name filtering that is handled in the Admin Module if we are using the Customer Number only for Billboards. 

Recipient Search New Sign Owner section 
1. Clear button is not un-checking View All checkbox for Zip Code. 
2. Clear button is not clearing the grid result list. Grid should not be visible. 
3. Search button should search the data warehouse to find the new sign owner. 
use the Billboard Schema View VW_CLIENT_CUSTOMER_INFO 
4. Add User button needs to be removed. 

Approved Permit Search section 
1. Clear button is not clearing the grid result list. Grid should not be visible. 

Continue Button 
1. Continue button is creating the PDF document so coding the PDF will be done after code fixes. 
2. Function objTrOwnership.TransferPermits should not be called. Only the Transfer Ownership page should do this functionality. 

Transfer Grid 
1. The transfer grid is improperly hidden when it has two or more rows and one of them is removed.",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-250,Transfer Ownership Form - Fix All issues in description.,Closed,Unassigned,1/9/12 13:50,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/TRANSFEROWNERSHIP.ASPX 

Recipient Search New Sign Owner section 
1. Rename First Name to Sign Owner Name 
2. Remove Last Name objects and View All also 
3. Move Customer Number objects to the left side 
4. Move the Buttons up. 

5. Clear button is not un-checking View All checkbox for Zip Code. 
6. Clear button is not clearing the grid result list. Grid should not be visible. 
7. Search button should search the data warehouse to find the new sign owner. 
use the Billboard Schema View VW_CLIENT_CUSTOMER_INFO 
8. Add User button needs to be removed. 

9. Transfer Permits button 
App_Code\BILLBOARD\TransferOwnership.vb 
In the function TransferPermits() the return is not handling null values. 

10. Transfer Permits button. The stored procedure is not handling new signowner is not already in BBD_SIGNOWNER table. 
Package: PKG_BBD_APPLICATION Body 
Stored Procedure: BBD_EXECUTE_TRANSFER 
Need to look at Stored Procedure BBD_SAVE_NEW_SIGNOWNER_ID for help. 

11. SearchApplicatnsForTransferOwnership() in App_Code\Billboard\TransferOwnership.vb is using improper field for city filter: 
strWhereClause = BuildWhereClause(_strCityName, strWhereClause, ""Upper(Address1) like upper('%{0}%')"") 

It should be: 
strWhereClause = BuildWhereClause(_strCityName, strWhereClause, ""Upper(City_Name) like upper('%{0}%')"") 

",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-251,Structure Page - Not Deleting Dimensions of Faces.,Closed,Unassigned,1/10/12 9:11,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/VIEWSTRUCTURE.ASPX 

Add Permit / Tag Number 
Remove Meeting Requires 
it is not adding/deleting records in Dimensions of Faces correctly 
Add validation",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-252,New Application - Search Applicant page - Add Legal and Native American buttons and check functionality,Closed,Unassigned,1/10/12 10:00,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/SEARCHAPPLICANT.ASPX 

Not able to complete new application.",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-255,New Application - Add Applicant Page,Closed,Unassigned,1/10/12 11:39,"BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/AddUser.aspx 

Remove Company Name dropdown 
Add validation to Name, Address, State, City 

",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-256,Email Notification - subject and Body incorrect @ dashboard #26,Closed,Unassigned,1/11/12 13:57,"PERMITTING/STANDARD/DPCVerifyDEReview.aspx 
Authorization page 
On Standard Permit set dashboard id = 26 and select No on ""Cancel Permit"" email notification will come up but it is not correct when going to dashboard id = 27. 
",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-257,Recall: Format Error on the Document import of Route in Permit Module,Closed,Unassigned,1/11/12 18:51,"Nutt, Margaret M would like to recall the message, ""Format Error on the Document import of Route in Permit Module"". 

This communication, including any attachments, may contain confidential information and is intended only for the individual or entity to whom it is addressed. Any review, dissemination or copying of this communication by anyone other than the intended recipient is strictly prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and delete all copies of the original message. 

[Created via e-mail received from: ""Nutt, Margaret M"" <MNutt@dot.state.nv.us>]",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-258,Format Error on the Document import of Route in Permit Module,Closed,Unassigned,1/11/12 19:01,"There is a ""-"" between the Route Type and Route(IR-080) in AX we use 
IR80, no ""-"" or leading 0 on the route. 



Margaret Nutt 

IRWIN Project Lead 

Nevada Department of Transportation 

Hours: 7:00AM - 4:00PM Mon-Fri 

Phone: 775 888-7425 

Mobile: 775-461-6875 

mnutt@dot.state.nv.us <mailto:mnutt@dot.state.nv.us> 




This communication, including any attachments, may contain confidential information and is intended only for the individual or entity to whom it is addressed. Any review, dissemination or copying of this communication by anyone other than the intended recipient is strictly prohibited. If you are not the intended recipient, please contact the sender by reply e-mail and delete all copies of the original message. 

[Created via e-mail received from: ""Nutt, Margaret M"" <MNutt@dot.state.nv.us>]",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-260,Unable to notify Applicant of Balance due.,Closed,Unassigned,1/13/12 15:41,http://irwappsrv1.irwin.dot.state.nv.us/IRWIN/PERMITTING/STANDARD/AdditionalCostsRequired.aspx,2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-261,Unable to enter a permit,Closed,Unassigned,1/17/12 11:13,"http://irwappsrv1.irwin.dot.state.nv.us/IRWIN/PERMITTING/COMMON/Message.aspx 

Margaret Nutt",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-262,Server Error on Comment(Not all record),Closed,Unassigned,1/17/12 17:11,"http://irwappsrv1.irwin.dot.state.nv.us/IRWIN/PERMITTING/COMMON/COMMENTS.ASPX 

112883 
112588 

Margaret Nutt 
",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-264,Result Page: calculate an extension request.,Closed,Unassigned,1/19/12 17:35,"Remember to calculate an extension request. 
BILLBOARD/NONAUTHORIZATON/ENTRYSCREENS/ResultList.aspx?DashBoardID=73&uTID=26 
",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,System Error,IRWIN-265,Unable to move Permit forward(200562) New Application in Review,Closed,Unassigned,1/20/12 13:23,"http://irwappsrv1.irwin.dot.state.nv.us/IRWIN/PERMITTING/COMMON/VIEWAPPLICATION.ASPX 

Margaret Nutt",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-266,Dashboard Page: Start and End Dates are using the field MODIFIED_DATE from BBD_APPLICATION,Closed,Unassigned,1/23/12 11:56,"Billboard/NONAuthorizaton/EntryScreens/Dashboard.aspx 

Need to change the field MODIFIED_DATE to RECEIVED_DATE 
",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-267,Authorization Page: Need to validate Edit and Remove is working correctly.,Closed,Unassigned,1/23/12 12:26,"Billboard/NewPermit/PreConstInformApplicant.aspx 
Pre Construction - Approved (Inform Applicant) - 71 

Need to turn off the popup ""Data saved successfully!"" 
Needs to only update the EXTERNAL_LINK_ID in the BBD_SIGNOWNER table.",2/3/15 15:34,NDOT - IRWIN,,,
Bug - Internal Reported,Functionality Incomplete,IRWIN-268,Notification Page: Email address should not be required.,Closed,Unassigned,1/23/12 13:14,"Billboard/Common/Notification.aspx 

Need to move forward with out an email address in the To section.",2/3/15 15:34,NDOT - IRWIN,,,
